[Tue Aug 25 09:13:27.920369 2020] [authz_core:error] [pid 3618] [client 103.206.80.14:3272] AH01630: client denied by server configuration: /var/www/html/.php
[Thu Aug 27 06:24:29.951488 2020] [php7:error] [pid 498] [client 103.23.34.229:36829] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:01.334245 2020] [php7:error] [pid 499] [client 157.245.192.8:35328] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:06.408099 2020] [php7:error] [pid 27019] [client 103.23.34.229:36854] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:06.845155 2020] [php7:error] [pid 27020] [client 36.80.224.76:63260] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:08.883763 2020] [php7:error] [pid 27021] [client 103.23.34.229:36856] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:21.491196 2020] [php7:error] [pid 27019] [client 36.80.224.76:63268] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:21.574239 2020] [php7:error] [pid 27077] [client 103.23.34.229:36858] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:22.799486 2020] [php7:error] [pid 27020] [client 103.23.34.229:36859] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:48.536977 2020] [php7:error] [pid 27022] [client 149.154.161.15:38740] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:25:55.029306 2020] [php7:error] [pid 27077] [client 36.80.224.76:63268] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:26:01.909573 2020] [php7:error] [pid 27019] [client 157.245.192.8:35340] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:26:12.753486 2020] [php7:error] [pid 27020] [client 157.245.192.8:35342] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:26:33.861775 2020] [php7:error] [pid 27022] [client 157.245.192.8:35348] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:26:34.170429 2020] [php7:error] [pid 27077] [client 36.80.224.76:63283] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:27:01.972312 2020] [php7:error] [pid 27021] [client 157.245.192.8:35354] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
[Thu Aug 27 06:27:28.576975 2020] [php7:error] [pid 27077] [client 157.245.192.8:35360] PHP Fatal error:  Cannot redeclare H2h_model::product() in /var/www/html/application/models/H2h_model.php on line 757
